"","grid","month","rat_abun","rat_sd","poss_abun","poss_sd","mouse_abun","mouse_sd","treat"
"1","Kaimai South",0,2.38660645958035,0.136383992002064,3.44999357573821,0.109809663338795,0.697580265741928,0.0421654793266287,"Control"
"2","Kaimai South",2,3.38488396444501,0.121146596210474,3.63075537431807,0.102266262170549,2.16917446119902,0.158508138742727,"Control"
"3","Kaimai South",5,2.64406368822428,0.158571234907685,3.74251388970238,0.0969368430370133,0.931235272229643,0.269780216886626,"Control"
"4","Kaimai South",8,2.00109117305098,0.223607579657657,4.17326216631377,0.0781998039251413,0.00905712315931662,0.0787165864902312,"Control"
"5","Kaimai South",11,3.40426019970779,0.121006672867559,NA,NA,0.924654046081165,0.269037002687129,"Control"
"6","Kaimai South",16,3.6284455457966,0.106231210619948,3.21621939297088,0.106660164798589,1.35868144352034,0.231254939057385,"Control"
"7","Kaimai South",19,3.70796094907441,0.107658613354286,3.66745111435555,0.098424838059355,0.00808671710653269,0.074432919595113,"Control"
"8","Kaimai South",22,3.6972039810934,0.106514985472729,3.61514217920266,0.0846449709413149,1.17809119148078,0.141729218087878,"Control"
"9","Kaimai South",27,4.04048033202797,0.0904290070350413,3.33153527146215,0.098867231646681,0.801170666902518,0.194783827744011,"Control"
"10","Kaimai South",31,2.93656012554784,0.145374202601806,3.43589765438596,0.105809104302692,0.00877986428709264,0.0775180802323882,"Control"
"11","Te Pua",0,4.11195650694606,0.088123506180777,3.80761811644472,0.0941679735378128,0.207837283018579,0.341633506716767,"Control"
"12","Te Pua",2,2.98643323607044,0.139920454922605,3.96069430088391,0.0887691552162727,0.214015639440103,0.347121950765199,"Control"
"13","Te Pua",5,1.55005089644137,0.324977901030791,3.8797074398292,0.0913992100422487,0.00859502503894332,0.0767081168641569,"Control"
"14","Te Pua",8,2.23486804686283,0.198673393321409,4.22484643663181,0.0774254514319769,1.36038235461822,0.231352100741789,"Control"
"15","Te Pua",11,NA,NA,NA,NA,NA,NA,"Control"
"16","Te Pua",16,3.446861373722,0.11153126763929,4.32350045679576,0.074019155824647,1.86205391913397,0.188289935872867,"Control"
"17","Te Pua",19,1.56512920346405,0.316874127542344,4.12455842736535,0.0773909773213129,1.86338453298662,0.185862276882533,"Control"
"18","Te Pua",22,4.04274807475162,0.0964597540007792,4.15207608655015,0.0763866793670631,2.48759984233005,0.1461186238732,"Control"
"19","Te Pua",27,3.68951197064855,0.106188618118265,4.4595528159493,0.071778620592477,1.35628483786535,0.23069778039504,"Control"
"20","Te Pua",31,3.98445385923215,0.0985564247566398,4.26917507807006,0.0764541373641059,0.00771703861023406,0.072731310494719,"Control"
"21","Mokihaha North",0,3.45935958665164,0.102238730153247,2.36367237946874,0.175070570230815,0.00896470353524196,0.0783192313377358,"Possum + rat removal"
"22","Mokihaha North",2,4.18304576428406,0.0757607140323761,3.15993800170012,0.125499976207087,1.75507179826612,0.149190757310141,"Possum + rat removal"
"23","Mokihaha North",5,1.30460587051625,0.429447373327032,1.76569914858068,0.225526937848208,2.12862414389055,0.140135135907459,"Possum + rat removal"
"24","Mokihaha North",8,2.23220252463075,0.199556612861198,1.53452749578568,0.262369919171879,1.65799706766269,0.206107512922069,"Possum + rat removal"
"25","Mokihaha North",11,NA,NA,NA,NA,NA,NA,"Possum + rat removal"
"26","Mokihaha North",16,3.60187825199319,0.0919030090923542,3.03700430828233,0.131244658657167,2.18393277623898,0.156193796973262,"Possum + rat removal"
"27","Mokihaha North",19,3.10023865334211,0.100167266213039,2.3646388627857,0.159927935643759,1.61907126341832,0.198616908153353,"Possum + rat removal"
"28","Mokihaha North",22,2.88525568086649,0.142099586949796,2.68624397644624,0.137382575977882,3.01901726444861,0.112555722373094,"Possum + rat removal"
"29","Mokihaha North",27,3.20901372056742,0.127735289079584,3.28157681249787,0.112520088615936,2.4825148247605,0.147504017380985,"Possum + rat removal"
"30","Mokihaha North",31,2.23201274256111,0.19962269268116,2.65292579533866,0.149485203480437,1.33823750784034,0.227197715047156,"Possum + rat removal"
"31","Rata Rd",0,3.52318726754996,0.110775827634642,NA,NA,1.27555315961393,0.201148914994759,"Possum + rat removal"
"32","Rata Rd",2,2.32734630841158,0.178045562280143,4.54286527366587,0.0703743237839641,1.26735202944365,0.198624380338768,"Possum + rat removal"
"33","Rata Rd",5,NA,NA,2.59703768064554,0.155423178032503,NA,NA,"Possum + rat removal"
"34","Rata Rd",8,1.29975071789945,0.428358239540058,NA,NA,1.84925325657981,0.183790029556302,"Possum + rat removal"
"35","Rata Rd",11,1.99260890048062,0.222104347056204,NA,NA,2.75609420236095,0.129780442907824,"Possum + rat removal"
"36","Rata Rd",16,3.08872686366788,0.116680339052101,0.913464965843511,0.502988133729011,2.70023252537441,0.117966818917507,"Possum + rat removal"
"37","Rata Rd",19,1.56127281160763,0.315692459796967,1.24368914185352,0.341551578934451,1.63619334956845,0.20301694636249,"Possum + rat removal"
"38","Rata Rd",22,3.0343487386674,0.139993777211576,1.78626791829775,0.227171025577672,2.68023780670811,0.13515308147585,"Possum + rat removal"
"39","Rata Rd",27,3.19028947767966,0.13265562995182,1.39936482979796,0.24498775708673,2.87048680956313,0.123490844130892,"Possum + rat removal"
"40","Rata Rd",31,2.82993969557163,0.151817362103918,2.35339051777901,0.175977768550999,1.26376161675426,0.195049444350023,"Possum + rat removal"
"41","Mokihaha South",0,3.56004926279165,0.102425229041429,4.15587226363054,0.0808643118947208,0.00794808767042071,0.0737996311261037,"Possum removal"
