"","egl M1","egl M2","egl MR1","egl MR2","hol M1","hol M2","hol MR1","hol MR2"
"1",0.301029995663981,0.477121254719662,0.301029995663981,0,0,0.301029995663981,0,0.301029995663981
"2",0.698970004336019,0.301029995663981,0.477121254719662,0.477121254719662,0,0.602059991327962,0.477121254719662,0
"3",1.17609125905568,0.954242509439325,0.602059991327962,0.903089986991944,0.301029995663981,0.477121254719662,0,0.845098040014257
"4",0.477121254719662,0,0,0.301029995663981,0.301029995663981,0.477121254719662,0.602059991327962,0.602059991327962
"5",0.778151250383644,0.301029995663981,0.477121254719662,0,0.845098040014257,1.11394335230684,1.14612803567824,0.698970004336019
"6",0.477121254719662,0.301029995663981,0.477121254719662,0.301029995663981,0.954242509439325,0,0.954242509439325,0.301029995663981
"7",0.778151250383644,0.698970004336019,0.477121254719662,0,0.602059991327962,0.477121254719662,1.25527250510331,0.698970004336019
"8",0.602059991327962,0.477121254719662,0.477121254719662,0.301029995663981,0.698970004336019,0.477121254719662,1,0.845098040014257
"9",0.477121254719662,0.301029995663981,0.301029995663981,0,0.602059991327962,0.698970004336019,1.07918124604762,0.778151250383644
"10",0,0,0,0,0.301029995663981,0.301029995663981,0.477121254719662,0
"11",0,0,0,0,0,0,0.477121254719662,0
"12",0,0,0,0,0.477121254719662,0.301029995663981,0,0.301029995663981
"13",0,NA,0,0,NA,0,0.301029995663981,0
"14",0,NA,0,0,NA,0.477121254719662,0.477121254719662,0
"15",0,NA,0,0,NA,0.602059991327962,0.477121254719662,0.301029995663981
"16",0,NA,0,0,NA,0,0.778151250383644,0.301029995663981
"17",0,NA,0,0,NA,0.301029995663981,0.954242509439325,0
"18",0,NA,0,0,NA,0.778151250383644,1.30102999566398,0.301029995663981
"19",0,NA,0,0,NA,0.301029995663981,0.954242509439325,0.301029995663981
"20",0,NA,0,0,NA,0,1.04139268515823,0
