"","grid","year","seed","trip.no","month"
"133","hol MR2",2001,0,9,"May"
"134","hol MR2",2001,0,10,"Aug"
"135","hol MR2",2001,0,11,"Nov"
"136","hol MR2",2002,0,12,"May"
"137","hol MR2",2002,0,13,"Nov"
"138","hol MR2",2003,0,14,"Feb"
"139","hol MR2",2003,728.291316526611,15,"May"
"140","hol MR2",2003,850.522026992615,16,"Aug"
"141","hol MR2",2003,860.707919531449,17,"Nov"
"142","hol MR2",2004,0,18,"Feb"
"143","hol MR2",2004,0,19,"May"
"144","hol MR2",2004,0,20,"Aug"
