"lN","se","lcl","ucl","trip","grid"
4.56335508557717,0.153614984081154,4.18965474202643,4.76217393479776,1,"egl M1"
5.18489222370748,0.178747621472955,4.8283137373023,5.50533153593236,2,"egl M1"
5.05790293199116,0.166425483199507,4.76217393479776,5.41621126713112,3,"egl M1"
3.27656881493527,0.0969794172895432,3.13549421592915,3.49650756146648,4,"egl M1"
4.66190474298117,0.162204693326082,4.26267987704132,4.85203026391962,5,"egl M1"
5.01769224802343,0.148587813897518,4.67282883446191,5.21493575760899,6,"egl M1"
5.07578297772387,0.187116584242571,4.7361984483945,5.45958551414416,7,"egl M1"
3.66320984758311,0.188835888634085,3.3322045101752,4.07753744390572,8,"egl M1"
3.23561959893504,0.277264201968433,2.77258872223978,3.8286413964891,9,"egl M1"
0.605532296712826,0.602799856058356,0,1.79175946922805,10,"egl M1"
1.22413216060034,0.382920732563416,0.693147180559945,1.79175946922805,11,"egl M1"
1.26958777624689,0.378038689306642,0.693147180559945,1.79175946922805,12,"egl M1"
1.21980520717834,0.382027962260207,0.693147180559945,1.79175946922805,13,"egl M1"
1.26127275406572,0.376992082312795,0.693147180559945,1.79175946922805,14,"egl M1"
2.58407039690453,0.322993346054296,1.94591014905531,3.17805383034795,15,"egl M1"
3.3195743192675,0.276603125455529,2.83321334405622,3.87120101090789,16,"egl M1"
2.9906150339369,0.24096457731235,2.63905732961526,3.52708521303798,17,"egl M1"
4.058697828715,0.167171971362412,3.76120011569356,4.4188406077966,18,"egl M1"
2.73528494284456,0.180516955650623,2.484906649788,3.17805383034795,19,"egl M1"
2.02560016223627,0.313225394582792,1.6094379124341,2.70805020110221,20,"egl M1"
3.39018594246153,0.23803447872099,2.83321334405622,3.71357206670431,1,"egl M2"
5.12103863158149,0.106914769607548,4.84418708645859,5.24174701505964,2,"egl M2"
4.5988175426726,0.16625979721837,4.30406509320417,4.95582705760126,3,"egl M2"
3.27770656722026,0.281335007496637,2.77258872223978,3.80666248977032,4,"egl M2"
3.03221236855388,0.261568832092387,2.39789527279837,3.36729582998647,5,"egl M2"
5.26208083601105,0.120340736427954,4.98360662170834,5.41164605185504,6,"egl M2"
5.14875290085082,0.190903156048247,4.77068462446567,5.48063892334199,7,"egl M2"
3.06149367046704,0.294915369495889,2.56494935746154,3.63758615972639,8,"egl M2"
1.84236305391367,0.334197374833303,1.38629436111989,2.484906649788,9,"egl M2"
0.587775479949717,0.598263671660911,0,1.79175946922805,10,"egl M2"
0.741965204543094,0.630849037632219,0,1.79175946922805,11,"egl M2"
0.683881770409269,0.62317225186204,0,1.79175946922805,12,"egl M2"
3.68862257401929,0.242670024267795,3.13549421592915,4.02535169073515,1,"egl MR1"
5.00633114351828,0.199734135365526,4.60517018598809,5.33753807970132,2,"egl MR1"
4.40104380960787,0.216130590247721,4.04305126783455,4.89034912822175,3,"egl MR1"
3.23157845760061,0.286036343763248,2.70805020110221,3.80666248977032,4,"egl MR1"
4.2751007190913,0.213690058120623,3.78418963391826,4.56434819146784,5,"egl MR1"
4.63466284970047,0.169102186417873,4.24849524204936,4.85203026391962,6,"egl MR1"
5.12840520013319,0.174622637516428,4.82028156560504,5.51745289646471,7,"egl MR1"
3.08786475236402,0.266367929513974,2.63905732961526,3.68887945411394,8,"egl MR1"
2.87512786318834,0.296120607840091,2.39789527279837,3.49650756146648,9,"egl MR1"
1.56319247036824,0.347220793689643,1.09861228866811,2.19722457733622,10,"egl MR1"
0.671275651851913,0.622394504444313,0,1.79175946922805,11,"egl MR1"
0.6738594459504,0.618846832371266,0,1.79175946922805,12,"egl MR1"
0.656142855175889,0.619529631167249,0,1.79175946922805,13,"egl MR1"
0.654575951300582,0.615735509336814,0,1.79175946922805,14,"egl MR1"
1.21304672783827,0.381074806921897,0.693147180559945,1.79175946922805,15,"egl MR1"
2.37672441906208,0.289059564452805,1.94591014905531,3.04452243772342,16,"egl MR1"
2.50277035693601,0.322743762456975,1.79175946922805,3.04452243772342,17,"egl MR1"
3.56467824399309,0.184582475169408,3.25809653802148,3.98898404656427,18,"egl MR1"
2.47186100326611,0.315247353662545,1.94591014905531,3.13549421592915,19,"egl MR1"
1.88279810906977,0.345198574906363,1.38629436111989,2.56494935746154,20,"egl MR1"
4.22468980295177,0.151509045229376,3.8286413964891,4.39444915467244,1,"egl MR2"
5.6895103831901,0.0968916621302059,5.44241771052179,5.79301360838414,2,"egl MR2"
5.18581920906041,0.120179548262156,4.96284463025991,5.42053499927229,3,"egl MR2"
3.7047135980093,0.133902104853498,3.49650756146648,4.00733318523247,4,"egl MR2"
4.16810220061716,0.246798029700319,3.71357206670431,4.64439089914137,5,"egl MR2"
4.98473910354123,0.195509374650351,4.61512051684126,5.38449506278909,6,"egl MR2"
4.4177397652291,0.200610317336725,4.06044301054642,4.85981240436167,7,"egl MR2"
3.32220837356967,0.185889728397645,2.99573227355399,3.73766961828337,8,"egl MR2"
2.58914868001132,0.296383030744722,2.07944154167984,3.2188758248682,9,"egl MR2"
1.19668385386371,0.382382232038383,0.693147180559945,1.79175946922805,10,"egl MR2"
0.664163700289916,0.615227504156069,0,1.79175946922805,11,"egl MR2"
0.654405545151828,0.613984035719048,0,1.79175946922805,12,"egl MR2"
0.676381321623394,0.614532839218331,0,1.79175946922805,13,"egl MR2"
1.27132006816515,0.381108721199223,0.693147180559945,1.79175946922805,14,"egl MR2"
3.19960416829679,0.27617782207641,2.56494935746154,3.61091791264422,15,"egl MR2"
5.11980316461409,0.147048703236528,4.77912349311153,5.31811999384422,16,"egl MR2"
