trip.no	area.id	date	grid.id	trap.id	observer	fate	tag.left	tag.right	species	sex	weight	length	notch	repro.stat	died	trap.note
1	P-	11/05/1999	M1	A1		NEW	n/a	143	Mouse	F	22	80	Aut	Adult		
1	P-	11/05/1999	M1	B6		NEW	n/a	148	Mouse	M	14.5	80	Aut			Sex- mature female?
1	P-	11/05/1999	M1	C3		NEW	n/a	160	Mouse	M	19	70	Aut	Adult		
1	P-	11/05/1999	M1	C7		NEW	n/a	164	Mouse	F	16	75	Aut	Adult		
1	P-	11/05/1999	M1	D6		NEW	n/a	199	Mouse	F	21	75	Spr	Adult		
1	P-	11/05/1999	M1	D8		NEW	n/a	115	Mouse	M	15	75	Aut			
1	P-	11/05/1999	M1	I1		SE										Not set
1	P-	11/05/1999	M1	I3		NEW	n/a	120	Mouse	F	12	60	Aut	Juv		
1	P-	11/05/1999	M2	A1		NEW	n/a	177	Mouse	F	20	75	Aut	Adult		
1	P-	11/05/1999	M2	A4		NEW	n/a	196	Mouse	F	29	70	Aut	Preg		
1	P-	11/05/1999	M2	A7		DEAD			Ship Rat							
1	P-	11/05/1999	M2	D2		NEW	n/a	135	Mouse	M	19.5	80	Aut	Adult		
1	P-	11/05/1999	MR1	A7		SE										
1	P-	11/05/1999	MR1	B2		NEW	n/a	40	Mouse	F	15	70	Aut	Adult		
1	P-	11/05/1999	MR1	D7		NEW	n/a	162	Mouse	?	20	70	Aut	Adult		
1	P-	11/05/1999	MR1	E1		NEW	n/a	150	Mouse	F	20.5	70	Aut	Adult		
1	P-	11/05/1999	MR1	E7		NEW	n/a	21	Mouse	F	16	31	Aut	Adult		
1	P-	11/05/1999	MR1	F4		NEW	1044	1099	Ship Rat	F	115	160		Adult		
1	P-	11/05/1999	MR1	F9		NEW	n/a	20	Mouse	M	21	80	Aut	Adult		
1	P-	11/05/1999	MR1	G1		NEW	n/a	38	Mouse	M	23	75	Aut	Adult		
1	P-	11/05/1999	MR1	H3		NEW	n/a	167	Mouse	F	14	75	Aut	Adult		
1	P-	11/05/1999	MR2	A1		SE										Robin
1	P-	11/05/1999	MR2	A5		SE										
1	P-	11/05/1999	MR2	A6		SE										
1	P-	11/05/1999	MR2	A7		SE										
1	P-	11/05/1999	MR2	A8		SE										
1	P-	11/05/1999	MR2	A9		NEW	n/a	51	Mouse	F	15	76	Aut	Adult		trap tipped over- mouse inside
1	P-	11/05/1999	MR2	B6		SE										
1	P-	11/05/1999	MR2	B8		SE										
1	P-	11/05/1999	MR2	B9		SE										
1	P-	11/05/1999	MR2	C4		SE										
1	P-	11/05/1999	MR2	C9		SE										
1	P-	11/05/1999	MR2	D9		SE										
1	P-	11/05/1999	MR2	E1		NEW	n/a	107	Mouse	M	17	75	Aut			
1	P-	11/05/1999	MR2	F1		SE										
1	P-	11/05/1999	MR2	F8		SE										Robin released
1	P-	11/05/1999	MR2	H1		NEW	n/a	145	Mouse	M	19	78	Aut	Adult		
1	P-	11/05/1999	MR2	H2		NEW	n/a	144	Mouse	F	18.5	72	Aut	Adult		vagina bleeding - just mated?
1	P-	11/05/1999	MR2	H9		NEW	n/a	76	Mouse	M	17	70	Aut			
1	P-	11/05/1999	MR2	I1		SE										
1	P-	11/05/1999	R1	A3		SE										
1	P-	11/05/1999	R1	B2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R1	C6		SE										
1	P-	11/05/1999	R1	E1		NEW	1036	1039	Ship Rat	F	123	150		Adult		Pregnant ?
1	P-	11/05/1999	R1	G1		DEAD	n/a		Mouse	F	14			Juv		
1	P-	11/05/1999	R2	A1		SE										
1	P-	11/05/1999	R2	A6		SE										
1	P-	11/05/1999	R2	B1		DEAD	n/a		Mouse	M	19			Adult		
1	P-	11/05/1999	R2	B2		SE										Robin
1	P-	11/05/1999	R2	B9		DEAD	n/a		Mouse		20					
1	P-	11/05/1999	R2	C2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	C3		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	D8		DEAD	n/a		Mouse	F	15.5			Adult		
1	P-	11/05/1999	R2	E1		DEAD	n/a		Mouse	M	11			Adult		
1	P-	11/05/1999	R2	E6		DEAD	n/a		Mouse	M	20.5			Adult		
1	P-	11/05/1999	R2	F4		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	F6		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	F9		SE										
1	P-	11/05/1999	R2	G2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	G3		SE										
1	P-	11/05/1999	R2	G6		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	G8		SE										Trap Gone (?)
1	P-	11/05/1999	R2	G9		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	H2		DEAD	n/a		Mouse	M	20.5			Adult		
1	P-	11/05/1999	R2	H5		SE										
1	P-	11/05/1999	R2	H9		DEAD	n/a		Mouse	M	11			Adult		
1	P-	11/05/1999	R2	I5		DEAD	n/a		Mouse	M	18			Adult		
1	P-	11/05/1999	R2	I6		DEAD	n/a		Mouse	F	19.5			Adult		
1	P-	11/05/1999	R2	I7		SE										
1	P-	12/05/1999	M1	A3		NEW	n/a	36	Mouse	M	20	75	Aut	Adult		
1	P-	12/05/1999	M1	A6		NEW	n/a	B	Mouse						y	DOA
1	P-	12/05/1999	M1	C3		NEW	n/a	10	Mouse	F	13.5	65	Aut	Adult		
1	P-	12/05/1999	M1	D8		SE										
1	P-	12/05/1999	M1	F6		RECAP	n/a	199	Mouse	F			Spr			
1	P-	12/05/1999	M1	H3		NEW	n/a	37	Mouse	M	22	75	Aut	Adult		
1	P-	12/05/1999	M1	H4		NEW	n/a	39	Mouse	F	23	75	Aut	Adult		
1	P-	12/05/1999	MR1	A9		NEW	n/a	93	Mouse	M	16	68	Aut	Adult		
1	P-	12/05/1999	MR1	G3		NEW	n/a	78	Mouse							
1	P-	12/05/1999	MR2	A1		SE										
1	P-	12/05/1999	MR2	A3		SE										
1	P-	12/05/1999	MR2	A9		NEW	n/a	A	Mouse						y	DOA
1	P-	12/05/1999	MR2	B3		SE										
1	P-	12/05/1999	MR2	B4		SE										
1	P-	12/05/1999	MR2	C6		NEW	n/a	90	Mouse	F	7	51	Aut	Juv		
1	P-	12/05/1999	MR2	H1		NEW	n/a	85	Mouse	F	15	65	Aut	Adult		
1	P-	12/05/1999	R1	A5		DEAD	n/a		Mouse							
1	P-	12/05/1999	R1	B7		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	A4		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	B1		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	E2		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	F1		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	F9		SE										
1	P-	12/05/1999	R2	I7		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	I9		DEAD	n/a		Mouse							
1	P-	13/05/1999	M1	A3		NEW	n/a	171	Mouse	M	22	78	Aut	Adult		
1	P-	13/05/1999	M1	A5		SE										
1	P-	13/05/1999	M1	A6		RECAP	n/a	148	Mouse	M			Aut	Adult		
1	P-	13/05/1999	M1	A9		SE										
1	P-	13/05/1999	M1	B1		NEW	n/a	92	Mouse	F	20	73	Aut	Adult		
1	P-	13/05/1999	M1	B3		NEW	n/a	191	Mouse	M	10	56	Aut	Juv		
1	P-	13/05/1999	M1	B4		NEW	n/a	6	Mouse	F	21.5	75	Aut	Adult		
1	P-	13/05/1999	M1	C7		SE										
1	P-	13/05/1999	M1	C9		SE										
1	P-	13/05/1999	M1	D2		RECAP	n/a	10	Mouse	F	10	13	Aut	Juv		
1	P-	13/05/1999	M1	D5		NEW	n/a	30	Mouse	M	21	80	Aut	Adult		
1	P-	13/05/1999	M1	G2		RECAP	n/a	37	Mouse	M	21	80	Aut	Adult		
1	P-	13/05/1999	M1	G4		SE										
1	P-	13/05/1999	M1	H5		NEW	n/a	113	Mouse	M	20	70	Aut	Adult		
1	P-	13/05/1999	M1	I9		SE										
1	P-	13/05/1999	M2	G1		NEW	n/a	169	Mouse	M	23.5	80	Aut	Adult		
1	P-	13/05/1999	M2	G3		SE										
1	P-	13/05/1999	MR1	A3		RECAP	n/a	40	Mouse	F			Aut			
1	P-	13/05/1999	MR1	C6		NEW	n/a		Mouse						y	DOA
1	P-	13/05/1999	MR1	D5		RECAP	n/a	162	Mouse	?			Aut	Adult		
1	P-	13/05/1999	MR1	F1		RECAP	n/a	150	Mouse	F			Aut	Adult		
1	P-	13/05/1999	MR1	G2		RECAP	n/a	167	Mouse	F			Aut	Adult		
1	P-	13/05/1999	MR1	I9		NEW	n/a	52	Mouse	F	10	60	Aut	Juv		
1	P-	13/05/1999	MR2	A5		NEW	n/a	8	Mouse	M	13	60	Aut	Juv		
1	P-	13/05/1999	MR2	A7		SE										
1	P-	13/05/1999	MR2	C2		NEW	n/a	31	Mouse	F	18	75	Aut	Juv		
1	P-	13/05/1999	MR2	C4		NEW	n/a	33	Mouse	M	21	75	Aut	Adult		
1	P-	13/05/1999	MR2	D6		SE										
1	P-	13/05/1999	MR2	E2		SE										Robin
1	P-	13/05/1999	MR2	E3		NEW	n/a	124	Mouse	F	31	73	Aut	Preg		
1	P-	13/05/1999	MR2	G2		SE										
1	P-	13/05/1999	MR2	G3		SE										
1	P-	13/05/1999	MR2	H3		SE										
1	P-	13/05/1999	MR2	I7		NEW	n/a	165	Mouse	M	29	80	Aut	Adult		Wgt-29..wet
1	P-	13/05/1999	R1	A3		SE										
1	P-	13/05/1999	R1	A5		DEAD	n/a		Mouse							
1	P-	13/05/1999	R1	B9		SE										
1	P-	13/05/1999	R1	C2		DEAD	n/a		Mouse							
1	P-	13/05/1999	R1	C5		DEAD	n/a		Mouse							
1	P-	13/05/1999	R1	D7		DEAD	n/a		Mouse							
1	P-	13/05/1999	R1	D9		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	B2		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	B3		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	B6		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	B7		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	B8		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	C1		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	D1		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	E2		SE										
1	P-	13/05/1999	R2	F2		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	F3		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	F5		SE										
1	P-	13/05/1999	R2	I7		DEAD	n/a		Mouse							
1	P-	13/05/1999	R2	I9		DEAD	n/a		Mouse							
1	P-	14/05/1999	M1	A1		RECAP	n/a	143	Mouse	F	20	75	Aut	Adult		
1	P-	14/05/1999	M1	A8		RECAP	n/a	36	Mouse	M	15.5	65	Aut	Adult		
1	P-	14/05/1999	M1	B7		SE										
1	P-	14/05/1999	M1	C1		NEW	n/a	28	Mouse	M	17	28	Aut	Adult		
1	P-	14/05/1999	M1	C9		DEAD			Ship Rat							
1	P-	14/05/1999	M1	E2		SE										
1	P-	14/05/1999	M1	E3		RECAP	n/a	10	Mouse	F			Aut	Adult		
1	P-	14/05/1999	M1	F4		SE										
1	P-	14/05/1999	M1	F8		SE										
1	P-	14/05/1999	M1	G2		RECAP	n/a	92	Mouse	F			Aut	Adult		
1	P-	14/05/1999	M1	G9		NEW	n/a	134	Mouse	M	22	78	Aut	Adult		
1	P-	14/05/1999	M1	H2		NEW	n/a	192	Mouse	M	24	75	Aut	Adult		
1	P-	14/05/1999	M1	H9		NEW	n/a	83	Mouse	F	25	80	Aut	Adult		
1	P-	14/05/1999	M1	I6		SE										
1	P-	14/05/1999	M2	A2		NEW	n/a	87	Mouse	F	20	80	Aut	Adult		
1	P-	14/05/1999	M2	B5		SE										
1	P-	14/05/1999	M2	B6		SE										
1	P-	14/05/1999	M2	C9		SE										
1	P-	14/05/1999	M2	E7		SE										
1	P-	14/05/1999	M2	H2		NEW	n/a	32	Mouse	F	20	65	Aut	Adult		
1	P-	14/05/1999	M2	H4		SE										
1	P-	14/05/1999	MR1	A2		NEW	n/a	116	Mouse	M	14	70	Aut	Adult		
1	P-	14/05/1999	MR1	E1		RECAP	n/a	150	Mouse	F			Aut	Preg		
1	P-	14/05/1999	MR1	H7		SE										
1	P-	14/05/1999	MR2	A1		NEW	n/a	35	Mouse	M	16	75	Aut	Adult		
1	P-	14/05/1999	MR2	A3		SE										
1	P-	14/05/1999	MR2	B3		SE										
1	P-	14/05/1999	MR2	C5		SE										
1	P-	14/05/1999	MR2	D2		SE										
1	P-	14/05/1999	MR2	D4		SE										
1	P-	14/05/1999	MR2	E4		SE										
1	P-	14/05/1999	MR2	E5		SE										
1	P-	14/05/1999	MR2	F1		NEW	n/a	158	Mouse	F	16	68	Aut	Adult		
1	P-	14/05/1999	MR2	G7		NEW	n/a	41	Mouse	F	30	75	Aut	Preg		
1	P-	14/05/1999	MR2	I9		NEW	n/a	84	Mouse	F	12	60	Aut	Adult		
1	P-	14/05/1999	R1	A1		SE										
1	P-	14/05/1999	R1	A3		SE										
1	P-	14/05/1999	R1	C6		SE										
1	P-	14/05/1999	R1	D4		SE										
1	P-	14/05/1999	R1	E7		DEAD	n/a		Mouse							
1	P-	14/05/1999	R1	G5		DEAD	n/a		Mouse							
1	P-	14/05/1999	R1	G8		SE										
1	P-	14/05/1999	R1	I5		SE										
1	P-	14/05/1999	R1	I6		SE										
1	P-	14/05/1999	R2	A5		DEAD	n/a		Mouse							
1	P-	14/05/1999	R2	A8		DEAD	n/a		Mouse							
1	P-	14/05/1999	R2	B5		DEAD	n/a		Mouse							
1	P-	14/05/1999	R2	C9		SE										
1	P-	14/05/1999	R2	D5		SE										
1	P-	14/05/1999	R2	D6		SE										
1	P-	14/05/1999	R2	F3		SE										
1	P-	14/05/1999	R2	F9		SE										
1	P-	14/05/1999	R2	G3		SE										
1	P-	14/05/1999	R2	G5		SE										
1	P-	14/05/1999	R2	H9		DEAD	n/a		Mouse							
1	P-	14/05/1999	R2	I5		DEAD	n/a		Mouse							
1	P-	14/05/1999	R2	I6		DEAD	n/a		Mouse							
1	P-	15/05/1999	M1	A1		NEW	n/a	81	Mouse	M	21	80	Aut	Adult		
1	P-	15/05/1999	M1	A4		SE										
1	P-	15/05/1999	M1	A5		SE										
1	P-	15/05/1999	M1	A7		SE										
1	P-	15/05/1999	M1	A8		SE										
1	P-	15/05/1999	M1	A9		SE										
1	P-	15/05/1999	M1	B2		SE										
1	P-	15/05/1999	M1	B5		NEW	n/a	16	Mouse	M	12	61	Aut	Juv		
1	P-	15/05/1999	M1	E2		NEW	n/a	42	Mouse	F	10.5	60	Aut	Juv		
1	P-	15/05/1999	M1	E5		SE										
1	P-	15/05/1999	M1	E7		NEW	n/a	43	Mouse	F	22	80	Aut	Adult		
1	P-	15/05/1999	M1	E9		NEW	n/a	44	Mouse	M	17.5	75	Aut	Adult		
1	P-	15/05/1999	M1	F6		SE										
1	P-	15/05/1999	M1	F9		NEW	n/a	45	Mouse	F	12	60	Aut	Juv		
1	P-	15/05/1999	M1	G4		NEW	n/a	13	Mouse	M	15.5	72	Aut	Adult		
1	P-	15/05/1999	M1	H1		SE										
1	P-	15/05/1999	M1	H3		SE										
1	P-	15/05/1999	M2	A1		RECAP	n/a	87	Mouse	F			Aut	Adult		"""Juvenile caught with her :#7, 8g, 45mm"
1	P-	15/05/1999	M2	A1		NEW	n/a	7	Mouse	M	8	45		Juv		
1	P-	15/05/1999	M2	A3		NEW	n/a	114	Mouse	M	16	65	Aut	Adult		
1	P-	15/05/1999	M2	C1		NEW	n/a	178	Mouse	F	21	80	Aut	Preg		
1	P-	15/05/1999	M2	D1		NEW	n/a	185	Mouse	F	19	70	Aut	Preg		
1	P-	15/05/1999	M2	F4		DEAD			Ship Rat							
1	P-	15/05/1999	M2	G2		RECAP	n/a	169	Mouse	M			Aut			
1	P-	15/05/1999	MR1	A1		NEW	n/a	195	Mouse	M	16	65	Aut	Adult		
1	P-	15/05/1999	MR1	A6		SE										
1	P-	15/05/1999	MR1	B1		RECAP	n/a	116	Mouse				Aut			
1	P-	15/05/1999	MR1	B8		SE										
1	P-	15/05/1999	MR1	B9		OLD	n/a	46	Mouse	M	17	70	Aut	Adult		Old tag lost - most likely #93
1	P-	15/05/1999	MR1	C2		SE										
1	P-	15/05/1999	MR2	A3		SE										
1	P-	15/05/1999	MR2	A6		SE										
1	P-	15/05/1999	MR2	A7		SE										
1	P-	15/05/1999	MR2	A9		SE										
1	P-	15/05/1999	MR2	B1		SE										
1	P-	15/05/1999	MR2	B3		SE										
1	P-	15/05/1999	MR2	B4		SE										
1	P-	15/05/1999	MR2	B8		SE										
1	P-	15/05/1999	MR2	B9		SE										
1	P-	15/05/1999	MR2	C4		NEW	n/a	97	Mouse	M	8	53	Aut	Juv		
1	P-	15/05/1999	MR2	D1		NEW	n/a	161	Mouse	M	18	75	Aut	Adult		
1	P-	15/05/1999	MR2	G3		SE										
1	P-	15/05/1999	MR2	I6		SE										
1	P-	15/05/1999	MR2	I7		SE										
1	P-	15/05/1999	MR2	I9		NEW	n/a	18	Mouse	M	25	80	Aut	Adult		
1	P-	15/05/1999	R1	B7		SE										
1	P-	15/05/1999	R1	C1		SE										
1	P-	15/05/1999	R1	C2		SE										
1	P-	15/05/1999	R1	G7		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	A6		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	A7		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	B1		NEW	1037	1041	Ship Rat	F	113	155		Adult		
1	P-	15/05/1999	R2	B2		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	B4		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	B5		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	C7		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	D9		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	E1		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	F8		SE										
1	P-	15/05/1999	R2	H8		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	H9		DEAD	n/a		Mouse							
1	P-	15/05/1999	R2	I3		DEAD	n/a		Mouse							
1	P+	6/05/1999	M1	B9		NEW	n/a		Mouse	M	14.25	70		Adult	y	DOA
1	P+	6/05/1999	M2	A2		NEW	n/a	101	Mouse	F	13	62	Aut	Juv		
1	P+	6/05/1999	M2	E7		NEW	n/a	151	Mouse	M	12.5	75	Aut	Adult		
1	P+	6/05/1999	M2	F4		NEW	n/a		Mouse	M	12	73		Adult	y	DOA
1	P+	6/05/1999	M2	G1		NEW	n/a	26	Mouse	F	18	71	Aut	Adult		
1	P+	6/05/1999	M2	I1		NEW	n/a	24	Mouse	F	11	60	Aut	Juv		
1	P+	6/05/1999	M2	I3		NEW	n/a	75	Mouse	M	13	75	Aut	Adult		
1	P+	6/05/1999	M2	I9		NEW	n/a	25	Mouse	F	10	60	Aut	Juv		
1	P+	6/05/1999	MR1	E1		SE										
1	P+	6/05/1999	R1	A7		SE										
1	P+	6/05/1999	R1	B7		SE										
1	P+	6/05/1999	R1	C8		SE										
1	P+	6/05/1999	R1	F5		SE										
1	P+	6/05/1999	R1	H3		DEAD	n/a		Mouse	M	20	85		Adult		
1	P+	6/05/1999	R1	H4		SE										bait ok
1	P+	6/05/1999	R2	F6		NEW	n/a	126	Mouse	M	17	80	Aut	Adult		
1	P+	7/05/1999	M1	D4		SE										
1	P+	7/05/1999	M1	F4		SE										
1	P+	7/05/1999	M1	I2		SE										
1	P+	7/05/1999	M2	E1		NEW	n/a	133	Mouse	F	10	60	Aut	Juv		
1	P+	7/05/1999	M2	E3		NEW	n/a	130	Mouse	M	18	75	Aut	Adult		
1	P+	7/05/1999	M2	E6		NEW	n/a	128	Mouse	F	26	82	Aut	Preg		
1	P+	7/05/1999	M2	F9		RECAP	n/a	151	Mouse	M	13		Aut	Adult		first recap
1	P+	7/05/1999	M2	H1		NEW	n/a	100	Mouse	F	12	70	Aut	Juv		
1	P+	7/05/1999	M2	H9		NEW	n/a	138	Mouse	F	22.5	75	Aut	Preg		
1	P+	7/05/1999	M2	I2		NEW	n/a	23	Mouse	F	10	57	Aut	Juv		
1	P+	7/05/1999	M2	I7		DEAD			Ship Rat	M	31			Juv		first rat
1	P+	7/05/1999	MR2	C4		NEW	n/a	141	Mouse	F	13	75	Aut	Adult		
1	P+	7/05/1999	MR2	D4		NEW	n/a	139	Mouse	M	15		Aut	Juv		no length
1	P+	7/05/1999	MR2	D5		NEW	n/a	142	Mouse	M	12		Aut	Adult		no length
1	P+	7/05/1999	MR2	I6		NEW	n/a	1	Mouse	F	13	65	Aut			sex status unknown
1	P+	7/05/1999	R1	A2		DEAD	n/a		Mouse	M	17.5			Adult		
1	P+	7/05/1999	R1	A6		DEAD	n/a		Mouse	M	11			Juv		
1	P+	7/05/1999	R1	B5		DEAD	n/a		Mouse	F	16			Adult		
1	P+	7/05/1999	R1	B9		DEAD	n/a		Mouse	M	12.5			Adult		
1	P+	7/05/1999	R2	D1		NEW	n/a	102	Mouse	M	17	75	Aut	Adult		
1	P+	7/05/1999	R2	D4		SE										
1	P+	7/05/1999	R2	D8		NEW	n/a	103	Mouse	F	9.5	70	Aut	Juv		
1	P+	7/05/1999	R2	G6		NEW	n/a	147	Mouse	F	20	65	Win	Preg		
1	P+	7/05/1999	R2	G8		SE										
1	P+	7/05/1999	R2	H4		NEW	n/a	104	Mouse	F	11	65	Aut	Juv		
1	P+	8/05/1999	M2	B2		SE										
1	P+	8/05/1999	M2	C5		NEW	n/a	74	Mouse	F	12	60	Aut	Juv		
1	P+	8/05/1999	M2	C8		SE										
1	P+	8/05/1999	M2	E4		NEW	n/a	132	Mouse	M	14	72	Aut	Adult		
1	P+	8/05/1999	M2	E6		RECAP	n/a	128	Mouse	F	26		Aut	Preg		
1	P+	8/05/1999	M2	F9		RECAP	n/a	138	Mouse	F	21		Aut	Preg		
1	P+	8/05/1999	M2	H6		NEW	n/a	2	Mouse	F	10	55		Juv		
1	P+	8/05/1999	M2	H9		NEW	n/a	29	Mouse	M	11	65	Aut	Juv		
1	P+	8/05/1999	M2	I2		SE										
1	P+	8/05/1999	M2	I6		RECAP	n/a	130	Mouse				Aut			
1	P+	8/05/1999	MR1	F5		SE										
1	P+	8/05/1999	MR1	F9		SE										
1	P+	8/05/1999	MR2	C6		NEW	n/a	22	Mouse	F	12	73	Aut	Juv		
1	P+	8/05/1999	MR2	G2		NEW	n/a	146	Mouse	M	19	78	Aut	Adult		
1	P+	8/05/1999	MR2	H5		NEW	n/a	105	Mouse	M	15	72	Aut			
1	P+	8/05/1999	MR2	I4		RECAP	n/a	1	Mouse		15		Aut			
1	P+	8/05/1999	R1	A2		SE										
1	P+	8/05/1999	R1	B2		SE										
1	P+	8/05/1999	R1	B4		SE										
1	P+	8/05/1999	R1	D3		SE										
1	P+	8/05/1999	R1	E4		SE										
1	P+	8/05/1999	R1	E7		SE										bird
1	P+	8/05/1999	R1	H2		DEAD	n/a		Mouse	M	19	85		Adult		
1	P+	8/05/1999	R1	H3		DEAD	n/a		Mouse	F	15	78		Adult		
1	P+	8/05/1999	R1	H9		DEAD	n/a		Mouse	F	15.5	75		Adult		
1	P+	8/05/1999	R2	C8		SE										
1	P+	8/05/1999	R2	D4		RECAP	n/a	126	Mouse	M	16.5		Aut	Juv		
1	P+	8/05/1999	R2	D5		DEAD	n/a		Mouse	M	10			Juv		
1	P+	8/05/1999	R2	D6		SE										weta
1	P+	8/05/1999	R2	E5		DEAD	n/a	147	Mouse	F	19	70	Win	Juv		
1	P+	9/05/1999	M1	A1		SE										
1	P+	9/05/1999	M1	C9		SE										
1	P+	9/05/1999	M1	D5		SE										
1	P+	9/05/1999	M1	F5		SE										
1	P+	9/05/1999	M1	G2		SE										
1	P+	9/05/1999	M1	H5		SE										
1	P+	9/05/1999	M1	I8		SE										
1	P+	9/05/1999	M2	E8		RECAP	n/a	128	Mouse	F			Aut	Preg		
1	P+	9/05/1999	M2	F1		RECAP	n/a	133	Mouse				Aut			
1	P+	9/05/1999	M2	F4		NEW	n/a	131	Mouse	F	13	58	Aut	Adult		
1	P+	9/05/1999	M2	F7		SE										
1	P+	9/05/1999	M2	F9		NEW	n/a	136	Mouse	M	12	55	Aut	Juv		
1	P+	9/05/1999	M2	G1		RECAP	n/a	26	Mouse	F			Aut			
1	P+	9/05/1999	M2	G2		RECAP	n/a	100	Mouse				Aut			
1	P+	9/05/1999	M2	G9		NEW	n/a	135	Mouse	M	12	50	Aut	Juv		
1	P+	9/05/1999	M2	H9		RECAP	n/a	25	Mouse	F			Aut			
1	P+	9/05/1999	M2	I2		RECAP	n/a	23	Mouse	F			Aut			
1	P+	9/05/1999	MR1	B2		SE										
1	P+	9/05/1999	MR1	B4		SE										
1	P+	9/05/1999	MR1	C9		SE										
1	P+	9/05/1999	MR1	F5		SE										
1	P+	9/05/1999	MR1	H1		SE										
1	P+	9/05/1999	MR1	H5		SE										
1	P+	9/05/1999	MR2	A6		SE										
1	P+	9/05/1999	MR2	B9		SE										
1	P+	9/05/1999	MR2	C2		SE										
1	P+	9/05/1999	MR2	C4		RECAP	n/a	141	Mouse	F			Aut			
1	P+	9/05/1999	MR2	C8		NEW	n/a	149	Mouse	F	14	70	Aut	Adult		
1	P+	9/05/1999	MR2	D2		NEW	n/a	101	Mouse				Aut			
1	P+	9/05/1999	MR2	D7		RECAP	n/a	142	Mouse	M			Aut			
1	P+	9/05/1999	MR2	E1		SE										
1	P+	9/05/1999	MR2	E8		NEW	n/a	4	Mouse	M	13	63	Aut	Adult		
1	P+	9/05/1999	MR2	F3		NEW	1109	1139	Ship Rat	M	20	90		Juv		
1	P+	9/05/1999	MR2	F8		NEW	n/a	5	Mouse	M	13.5	65	Aut	Adult		
1	P+	9/05/1999	MR2	G2		RECAP	n/a	146	Mouse	M			Aut			
1	P+	9/05/1999	MR2	G8		NEW	n/a	127	Mouse	F	23	72	Aut	Adult		
1	P+	9/05/1999	MR2	H5		RECAP	n/a	105	Mouse				Aut			
1	P+	9/05/1999	R1	B1		SE										
1	P+	9/05/1999	R1	D1		SE										
1	P+	9/05/1999	R1	D4		SE										
1	P+	9/05/1999	R1	F2		SE										
1	P+	9/05/1999	R1	F9		SE										
1	P+	9/05/1999	R1	G3		SE										
1	P+	9/05/1999	R1	I1		SE										
1	P+	9/05/1999	R1	I8		SE										Robin released
1	P+	9/05/1999	R2	B6		SE										weta
1	P+	9/05/1999	R2	C5		DEAD	n/a		Mouse							
1	P+	9/05/1999	R2	D1		DEAD	n/a		Mouse	M	14			Adult		
1	P+	9/05/1999	R2	D3		DEAD	n/a	103	Mouse				Aut			
1	P+	9/05/1999	R2	G5		DEAD	n/a		Mouse							
1	P+	9/05/1999	R2	H6		SE										
2	P-	4/08/1999	M1	A1	Young	NEW	n/a	275	Mouse	M	16	75	Win	Adult		
2	P-	4/08/1999	M1	A2	Young	NEW	n/a	276	Mouse	M	16.5	78	Win	Adult		
2	P-	4/08/1999	M1	A8	Young	NEW	n/a	251	Mouse	M	18	75	Win	Adult		
2	P-	4/08/1999	M1	B2	Yockney	NEW	n/a	225	Mouse	M	16	75	Win	Adult		
2	P-	4/08/1999	M1	B3	Yockney	DEAD			Ship Rat							
2	P-	4/08/1999	M1	B4	Yockney	OLD	n/a	201	Mouse	M	19	75	Aut	Adult		
2	P-	4/08/1999	M1	B7	Yockney	NEW	n/a	202	Mouse	M	22	80	Win	Adult		
2	P-	4/08/1999	M1	C3	Young	NEW	n/a	256	Mouse	M	15	75	Win	Adult		
