"","grid","year","seed","trip.no","month"
"134","egl M2",2002,0,13,"Nov"
"135","egl MR1",2002,0,13,"Nov"
"136","egl MR2",2002,0,13,"Nov"
"137","hol M1",2002,0,13,"Nov"
"138","hol M2",2002,0,13,"Nov"
"139","hol MR1",2002,0,13,"Nov"
"140","hol MR2",2002,0,13,"Nov"
"141","egl M1",2004,0,21,"Nov"
"142","egl MR1",2004,0,21,"Nov"
"143","egl MR2",2004,40.7435701553349,21,"Nov"
"144","hol M2",2004,25.4647313470843,21,"Nov"
"145","hol MR1",2004,10.1858925388337,21,"Nov"
"146","hol MR2",2004,0,21,"Nov"
