"","grid","trip.no","month","year","total","cum.seed","seedm2"
"104","hol M2",20,"Aug",2004,5,25.4647313470843,25.4647313470843
"105","hol MR1",1,"May",1999,16,81.4871403106697,81.4871403106697
"106","hol MR1",2,"Aug",1999,5,106.951871657754,25.4647313470843
"107","hol MR1",3,"Nov",1999,0,106.951871657754,0
"108","hol MR1",4,"Feb",2000,12,61.1153552330023,61.1153552330023
"109","hol MR1",5,"May",2000,74,437.99337916985,376.878023936847
"110","hol MR1",6,"Aug",2000,11,494.015788133435,56.0224089635854
"111","hol MR1",7,"Nov",2000,8,534.75935828877,40.7435701553349
"112","hol MR1",8,"Feb",2001,0,0,0
"113","hol MR1",9,"May",2001,0,0,0
"114","hol MR1",10,"Aug",2001,0,0,0
"115","hol MR1",11,"Nov",2001,0,0,0
"116","hol MR1",12,"May",2002,4,20.3717850776674,20.3717850776674
"117","hol MR1",13,"Nov",2002,0,20.3717850776674,0
"118","hol MR1",14,"Feb",2003,21,106.951871657754,106.951871657754
"119","hol MR1",15,"May",2003,334,1807.99592564298,1701.04405398523
"120","hol MR1",16,"Aug",2003,111,2373.31296154826,565.317035905271
"121","hol MR1",17,"Nov",2003,6,2403.87063916476,30.5576776165011
"122","hol MR1",18,"Feb",2004,0,0,0
"123","hol MR1",19,"May",2004,2,10.1858925388337,10.1858925388337
"124","hol MR1",20,"Aug",2004,0,10.1858925388337,0
"125","hol MR2",1,"May",1999,2,10.1858925388337,10.1858925388337
"126","hol MR2",2,"Aug",1999,0,10.1858925388337,0
"127","hol MR2",3,"Nov",1999,0,10.1858925388337,0
"128","hol MR2",4,"Feb",2000,18,91.6730328495034,91.6730328495034
"129","hol MR2",5,"May",2000,245,1339.44486885663,1247.77183600713
"130","hol MR2",6,"Aug",2000,42,1553.34861217214,213.903743315508
"131","hol MR2",7,"Nov",2000,5,1578.81334351923,25.4647313470843
"132","hol MR2",8,"Feb",2001,0,0,0
"133","hol MR2",9,"May",2001,0,0,0
"134","hol MR2",10,"Aug",2001,1,5.09294626941686,5.09294626941686
"135","hol MR2",11,"Nov",2001,4,25.4647313470843,20.3717850776674
"136","hol MR2",12,"May",2002,21,106.951871657754,106.951871657754
"137","hol MR2",13,"Nov",2002,0,106.951871657754,0
"138","hol MR2",14,"Feb",2003,0,0,0
"139","hol MR2",15,"May",2003,143,728.291316526611,728.291316526611
"140","hol MR2",16,"Aug",2003,24,850.522026992615,122.230710466005
"141","hol MR2",17,"Nov",2003,2,860.707919531449,10.1858925388337
"142","hol MR2",18,"Feb",2004,0,0,0
"143","hol MR2",19,"May",2004,0,0,0
"144","hol MR2",20,"Aug",2004,0,0,0
