"","mean.lam","grid","trip","transmice","rep.number"
"1",85.0548157585902,"egl M1",1,85.0548157585902,"egl M1"
"2",141.233268655882,"egl M1",2,141.233268655882,"egl M1"
"3",125.218238994853,"egl M1",3,125.218238994853,"egl M1"
"4",24.9003356471473,"egl M1",4,24.9003356471473,"egl M1"
"5",87.8554644699713,"egl M1",5,87.8554644699713,"egl M1"
"6",133.271376328553,"egl M1",6,133.271376328553,"egl M1"
"7",122.522770628737,"egl M1",7,122.522770628737,"egl M1"
"8",31.5625693180338,"egl M1",8,31.5625693180338,"egl M1"
"9",15.8788066151116,"egl M1",9,15.8788066151116,"egl M1"
"10",3.38509668639267,"egl M1",10,3.38509668639267,"egl M1"
"11",2.07964357070273,"egl M1",11,2.07964357070273,"egl M1"
"12",2.1634009775998,"egl M1",12,2.1634009775998,"egl M1"
"13",2.04599514538106,"egl M1",13,2.04599514538106,"egl M1"
"14",3.97834961684704,"egl M1",14,3.97834961684704,"egl M1"
"15",8.86927821580704,"egl M1",15,8.86927821580704,"egl M1"
"16",18.490012793982,"egl M1",16,18.490012793982,"egl M1"
"17",18.0114174229433,"egl M1",17,18.0114174229433,"egl M1"
"18",44.7563366210221,"egl M1",18,44.7563366210221,"egl M1"
"19",12.9937549491427,"egl M1",19,12.9937549491427,"egl M1"
"20",5.04112094449978,"egl M1",20,5.04112094449978,"egl M1"
"21",27.2043967168127,"egl M2",1,27.2043967168127,"egl M2"
"22",151.721986925549,"egl M2",2,151.721986925549,"egl M2"
"23",83.5698522472481,"egl M2",3,83.5698522472481,"egl M2"
"24",19.9142345024384,"egl M2",4,19.9142345024384,"egl M2"
"25",24.6587442320682,"egl M2",5,24.6587442320682,"egl M2"
"26",173.728666151005,"egl M2",6,173.728666151005,"egl M2"
"27",135.955952325461,"egl M2",7,135.955952325461,"egl M2"
"28",13.2672986203433,"egl M2",8,13.2672986203433,"egl M2"
"29",4.7915075310477,"egl M2",9,4.7915075310477,"egl M2"
"30",2.78045724823674,"egl M2",10,2.78045724823674,"egl M2"
"31",2.02383888618495,"egl M2",11,2.02383888618495,"egl M2"
"32",1.09966693400726,"egl M2",12,1.09966693400726,"egl M2"
"33",33.9016972138992,"egl MR1",1,33.9016972138992,"egl MR1"
"34",114.296458330107,"egl MR1",2,114.296458330107,"egl MR1"
"35",65.989482326183,"egl MR1",3,65.989482326183,"egl MR1"
"36",23.1884100286906,"egl MR1",4,23.1884100286906,"egl MR1"
"37",58.1313057587751,"egl MR1",5,58.1313057587751,"egl MR1"
"38",97.5923528897748,"egl MR1",6,97.5923528897748,"egl MR1"
"39",133.769177395111,"egl MR1",7,133.769177395111,"egl MR1"
"40",17.1857792698332,"egl MR1",8,17.1857792698332,"egl MR1"
"41",10.7588010786226,"egl MR1",9,10.7588010786226,"egl MR1"
"42",3.88918791864303,"egl MR1",10,3.88918791864303,"egl MR1"
"43",2.03105871325656,"egl MR1",11,2.03105871325656,"egl MR1"
"44",1.38044579005426,"egl MR1",12,1.38044579005426,"egl MR1"
"45",1.03890518978973,"egl MR1",13,1.03890518978973,"egl MR1"
"46",1.77202284301171,"egl MR1",14,1.77202284301171,"egl MR1"
"47",2.95098512357668,"egl MR1",15,2.95098512357668,"egl MR1"
"48",6.96351420066447,"egl MR1",16,6.96351420066447,"egl MR1"
"49",10.3266868484986,"egl MR1",17,10.3266868484986,"egl MR1"
"50",26.4033049593952,"egl MR1",18,26.4033049593952,"egl MR1"
"51",9.56480781416643,"egl MR1",19,9.56480781416643,"egl MR1"
"52",4.04421539900207,"egl MR1",20,4.04421539900207,"egl MR1"
"53",64.9042908137373,"egl MR2",1,64.9042908137373,"egl MR2"
"54",252.201393352722,"egl MR2",2,252.201393352722,"egl MR2"
"55",145.861848471497,"egl MR2",3,145.861848471497,"egl MR2"
"56",33.534801719442,"egl MR2",4,33.534801719442,"egl MR2"
"57",50.7341109070787,"egl MR2",5,50.7341109070787,"egl MR2"
"58",112.776705736869,"egl MR2",6,112.776705736869,"egl MR2"
"59",67.9761745432272,"egl MR2",7,67.9761745432272,"egl MR2"
"60",22.8374261635912,"egl MR2",8,22.8374261635912,"egl MR2"
"61",9.24924870897544,"egl MR2",9,9.24924870897544,"egl MR2"
"62",3.52215818104638,"egl MR2",10,3.52215818104638,"egl MR2"
"63",2.20534821927384,"egl MR2",11,2.20534821927384,"egl MR2"
"64",1.54149984487211,"egl MR2",12,1.54149984487211,"egl MR2"
"65",1.23955143796826,"egl MR2",13,1.23955143796826,"egl MR2"
"66",3.19194189670409,"egl MR2",14,3.19194189670409,"egl MR2"
"67",17.7895747433484,"egl MR2",15,17.7895747433484,"egl MR2"
"68",135.827691751196,"egl MR2",16,135.827691751196,"egl MR2"
"69",83.8378958446515,"egl MR2",17,83.8378958446515,"egl MR2"
"70",34.326633740596,"egl MR2",18,34.326633740596,"egl MR2"
"71",20.3408660722848,"egl MR2",19,20.3408660722848,"egl MR2"
"72",19.5936182115285,"egl MR2",20,19.5936182115285,"egl MR2"
"73",5.23874920325949,"hol M1",1,5.23874920325949,"hol M1"
"74",3.89271958490291,"hol M1",2,3.89271958490291,"hol M1"
"75",4.38262770842642,"hol M1",3,4.38262770842642,"hol M1"
"76",4.98991237391393,"hol M1",4,4.98991237391393,"hol M1"
"77",9.07538111182616,"hol M1",5,9.07538111182616,"hol M1"
"78",17.0709334335962,"hol M1",6,17.0709334335962,"hol M1"
"79",22.2814289076925,"hol M1",7,22.2814289076925,"hol M1"
"80",13.6302312697798,"hol M1",8,13.6302312697798,"hol M1"
